,ticker,company,sector,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_earnings_to_growth_ratio,dividend_yield,enterprise_value_multiple
294,LYV,Live Nation Entertainment,Communication Services,12.953467798083471,1.2852773048143793,212.37022238692785,740.515342481458,0.007241175050357208,17.95703819213905
295,LKQ,LKQ Corporation,Consumer Discretionary,2.0811674215931877,0.8335373976030435,19.259338487972506,12.441483403532283,,9.729939540018613
296,LMT,Lockheed Martin Corp.,Industrials,39.31045730732331,2.0551695311977527,19.730947030497592,1.1026807496235276,0.021151314879624614,13.777871378672694
297,L,Loews Corp.,Financials,0.8293020555468382,1.0619132007233274,17.01225965665236,8.096872638472751,0.004793311765953182,12.576674105067411
298,LOW,Lowe's Cos.,Consumer Discretionary,41.990309330628804,1.1477087375949437,19.34241765942537,6.49483946472494,0.019539908814563973,12.140367431640625
299,LYB,LyondellBasell,Materials,3.6620897563401296,0.8482693581363205,8.671725051516043,0.6526906062228494,0.04963023438574098,7.394162529876816
300,MTB,M&T Bank Corp.,Financials,1.4599495935806672,52.99464480874317,11.894112543924807,0.8335949288114802,0.024063002826471277,10.0265042322901
301,MRO,Marathon Oil Corp.,Energy,0.7904714885213527,1.8509826589595375,20.01375,14.791183850364964,0.016863406408094438,4.766765578635015
302,MPC,Marathon Petroleum,Energy,1.0629978631210306,0.2889627992158065,13.582347364429276,3.2197003284744223,0.03903212612011452,6.826824916189034
303,MKTX,MarketAxess,Financials,17.246854306828673,25.973590168807398,64.81951020487843,13.906127189315175,0.005802593486732016,45.89052205379249
304,MAR,Marriott Int'l.,Consumer Discretionary,67.82252773826458,2.2734711520122066,37.45423173605656,6.534359149756695,0.012835775874517454,26.506689514298685
305,MMC,Marsh & McLennan,Financials,7.300465818960091,3.4823204419889504,33.287944890929964,10.208303099885189,0.015348108906041982,18.663259137125586
306,MLM,Martin Marietta Materials,Materials,3.115188383045526,3.517281762359942,27.24097074685406,3.6224849290388015,0.007787026621672292,15.457935370900987
307,MAS,Masco Corp.,Industrials,-89.38423423423423,1.1869422179686566,13.517234332425069,7.735002760580949,0.013505818084693573,8.891678674351585
308,MA,Mastercard Inc.,Information Technology,55.994539283896145,19.544856956702006,40.64742793791574,7.055544327165097,0.004076056239514762,29.26766310585327
309,MKC,McCormick & Co.,Consumer Staples,5.950600213688643,3.5008966703026494,20.287122348403685,5.588095075021124,0.014438107308829742,21.798671726755217
310,MXIM,Maxim Integrated Products Inc,Information Technology,9.615665071241375,7.666825235305785,21.44272649930029,12.616720808114824,0.028493499305881527,19.792430526331742
311,MCD,McDonald's Corp.,Consumer Discretionary,-19.961031631000086,7.775771973525017,27.19919972118034,3.480531591686244,0.021856038541118613,18.44781926887918
312,MCK,McKesson Corp.,Health Care,3.0155522609340255,0.11388574974687264,717.8788235294118,2100.06342405619,0.01196334954121374,15.815738419618528
313,MDT,Medtronic plc,Health Care,2.4261057675031443,3.9770286350099813,26.2418622327791,11.382745911795675,0.022159855354156783,15.95799977596057
314,MRK,Merck & Co.,Health Care,8.564191145250318,4.73681682322801,22.541145992075585,9.29550473788969,0.02566789484951943,15.780795183911087
315,MET,MetLife Inc.,Financials,0.8548271363834588,0.663582196317393,8.800397813780988,2.207561137377131,0.03721905106147713,5.329697785606442
316,MTD,Mettler Toledo,Health Care,45.365825830600315,6.344712579919512,34.020185370400405,1.6304656206899915,,26.12290646105899
317,MGM,MGM Resorts International,Consumer Discretionary,2.123211110269934,1.2718629512440318,8.006562197129927,8.991164265543317,0.016535281753946696,4.777952021977972
318,MCHP,Microchip Technology,Information Technology,3.9596724349881796,3.9137803533040474,58.827670694015175,54.4052302972842,0.016449530319101784,17.897065861307933
319,MU,Micron Technology,Information Technology,1.3415439926423456,2.056564128855849,7.62489149374307,0.6009288379221635,,3.645026072067865
320,MSFT,Microsoft Corp.,Information Technology,10.52384979966774,8.557532401484389,27.444076197757386,12.707645686162117,0.012824708722134454,20.821865449021796
321,MAA,Mid-America Apartments,Real Estate,2.579487318665945,9.539076353261423,44.24335721614082,22.979153384120767,0.027964032927021286,17.923443709672245
322,MHK,Mohawk Industries,Consumer Discretionary,1.1981648285970132,0.9757524768641472,13.072781643915503,1.092088767626588,,8.665823808343236
323,TAP,Molson Coors Brewing Company,Consumer Staples,1.057660245495062,1.071093117408907,12.795557545902373,1.9543490524076597,0.02479308761437579,9.479072741806554
324,MDLZ,Mondelez International,Consumer Staples,3.115160403299725,3.284598732024122,21.95503875968992,9.383327715986967,0.018148435844926206,20.340081799591
325,MNST,Monster Beverage,Consumer Staples,8.710086640051342,8.648841787756151,32.795695126079245,17.906806756170198,,24.423306857488964
326,MCO,Moody's Corp,Financials,81.60005392156863,10.341526817146407,35.11901054852321,5.076381106319062,0.0075691991504955635,24.425947679708827
327,MS,Morgan Stanley,Financials,0.9731861825405584,-167.07865263157893,8.777080291970801,1.6223752665885671,0.033101334184114484,19.013866896156053
328,MOS,The Mosaic Company,Materials,0.8427680583528387,0.8691876536833478,-7.252432077946413,-5.922305173437943,0.008680773095183902,-54.17935691318328
329,MSI,Motorola Solutions Inc.,Information Technology,-42.85666,3.80368479776848,34.561822580645156,5.960662155212716,0.012633475670492554,17.279828860759494
330,MSCI,MSCI Inc,Financials,-323.03391662538775,15.907874895044023,43.965779848416034,7.327326992309926,0.008995600906536018,31.395515495428292
331,MYL,Mylan N.V.,Health Care,0.9512230094750838,0.9829263075518456,672.8657142857143,984.3882237082066,,8.611578177563258
332,NDAQ,"Nasdaq, Inc.",Financials,3.3916424158325937,4.487440540328484,24.70991160578811,8.898353600171893,0.015947319190446427,18.376529894681024
333,NOV,National Oilwell Varco Inc.,Energy,0.8993877994066142,1.470322962261919,-400.923870967742,639.4481992650062,0.0061149087913078175,15.219356270810213
334,NTAP,NetApp,Information Technology,15.65245871559633,2.7759811259355676,14.594679213002568,48.776954211877,0.023620874992233833,11.481086036671368
335,NFLX,Netflix Inc.,Communication Services,20.07874860148636,7.552929554499363,81.5463707311952,29.4746380655117,,13.584342545504558
336,NWL,Newell Brands,Consumer Discretionary,1.705719984687607,0.8714448939258252,79.41838649155721,-4.85953873312366,0.04610205527994331,-387.70588235294116
337,NEM,Newmont Corporation,Materials,1.5430882352941175,3.3935266940451747,11.783582887700534,25.39863173741904,0.026896237703442506,6.691659295949053
338,NWSA,News Corp. Class A,Communication Services,0.7283172572178478,0.6610812983919,42.966019354838714,-16.593283696680444,0.02417514335784933,6.386705824284304
339,NWS,News Corp. Class B,Communication Services,0.874748031496063,0.7939940440738534,51.604490322580645,-19.929422385477476,0.020128280909788295,7.708485686080948
340,NEE,NextEra Energy,Utilities,2.529119845360825,5.1625675853410655,13.009079240735161,1.1446441607876308,0.024330007637839043,13.672038447846209
341,NLSN,Nielsen Holdings,Industrials,3.372564942241458,1.139239773502616,-17.83802421257831,8.912294336434785,0.053358332603030384,23.01324290832579
342,NKE,Nike,Consumer Discretionary,14.66989103982301,3.390234808395327,32.915317696698935,26.89928989419312,0.010044050930124736,23.839850570548812
343,NI,NiSource Inc.,Utilities,1.8210892478326959,2.1574217358610044,33.23876524390244,-189.83084449128125,0.027379506095723705,11.527943451092
